,Total Cases
13926,975.0
13977,994.0
14028,975.0
14079,890.0
14130,1387.0
14181,805.0
14232,1156.0
14283,1046.0
14334,1315.0
14385,1565.0
14436,1901.0
14487,1527.0
14538,666.0
14589,1679.0
14640,814.0
14691,2135.0
14742,1996.0
14793,2621.0
14844,1880.0
14895,417.0
14946,3452.0
14997,2030.0
15048,1399.0
15099,3015.0
15150,3476.0
15201,2382.0
15252,1477.0
15303,2984.0
15354,3206.0
15405,4123.0
15456,4471.0
15507,3638.0
15558,4331.0
15609,2659.0
15660,4543.0
15711,3982.0
15762,3475.0
15813,4314.0
15864,4136.0
15915,3221.0
15966,822.0
16017,10322.0
16068,3840.0
16119,5442.0
16170,5680.0
16221,6799.0
16272,5376.0
16323,1566.0
16374,12315.0
16425,4444.0
16476,4928.0
16527,6983.0
16578,8076.0
16629,6676.0
16680,10666.0
16731,4441.0
16782,4848.0
16833,5817.0
16884,7635.0
16935,5560.0
16986,5366.0
2,
53,0.0
104,0.0
155,0.0
206,0.0
257,0.0
308,0.0
359,0.0
410,0.0
461,0.0
512,0.0
563,0.0
614,0.0
665,0.0
716,0.0
767,0.0
818,0.0
869,0.0
920,0.0
971,0.0
1022,0.0
1073,0.0
1124,0.0
1175,0.0
1226,0.0
1277,0.0
1328,0.0
1379,0.0
1430,0.0
1481,0.0
1532,0.0
1583,0.0
1634,0.0
1685,0.0
1736,0.0
1787,0.0
1838,0.0
1889,0.0
1940,0.0
1991,0.0
2042,0.0
2093,0.0
2144,0.0
2195,0.0
2246,0.0
2297,0.0
2348,0.0
2399,0.0
2450,0.0
2501,1.0
2552,2.0
2603,0.0
2654,3.0
2705,1.0
2756,9.0
2807,0.0
2858,3.0
2909,28.0
2960,18.0
3011,32.0
3062,61.0
3113,26.0
3164,36.0
3215,73.0
3266,32.0
3317,48.0
3368,21.0
3419,41.0
3470,62.0
3521,56.0
3572,59.0
3623,56.0
3674,52.0
3725,8.0
3776,111.0
3827,74.0
3878,67.0
3929,82.0
3980,69.0
4031,54.0
4082,22.0
4133,42.0
4184,180.0
4235,21.0
4286,93.0
4337,28.0
4388,76.0
4439,83.0
4490,3.0
4541,193.0
4592,239.0
4643,113.0
4694,193.0
4745,154.0
4796,80.0
4847,77.0
4898,79.0
4949,41.0
5000,132.0
5051,67.0
5102,43.0
5153,36.0
5204,63.0
5255,55.0
5306,61.0
5357,103.0
5408,77.0
5459,52.0
5510,0.0
5561,289.0
5612,27.0
5663,117.0
5714,71.0
5765,135.0
5816,93.0
5867,122.0
5918,181.0
5969,56.0
6020,110.0
6071,77.0
6122,436.0
6173,161.0
6224,158.0
6275,146.0
6326,99.0
6377,134.0
6428,93.0
6479,242.0
6530,245.0
6581,231.0
6632,250.0
6683,189.0
6734,359.0
6785,201.0
6836,377.0
6887,217.0
6938,430.0
6989,323.0
7040,276.0
7091,346.0
7142,306.0
7193,424.0
7244,734.0
7295,527.0
7346,386.0
7397,414.0
7448,221.0
7499,421.0
7550,277.0
7601,601.0
7652,484.0
7703,413.0
7754,508.0
7805,496.0
7856,647.0
7907,481.0
7958,918.0
8009,534.0
8060,527.0
8111,419.0
8162,533.0
8213,438.0
8264,846.0
8315,497.0
8366,481.0
8417,587.0
8468,379.0
8519,313.0
8570,706.0
8621,813.0
8672,721.0
8723,973.0
8774,487.0
8825,523.0
8876,869.0
8927,562.0
8978,846.0
9029,569.0
9080,747.0
9131,614.0
9182,648.0
9233,776.0
9284,532.0
9335,990.0
9386,881.0
9437,746.0
9488,609.0
9539,710.0
9590,713.0
9641,740.0
9692,744.0
9743,764.0
9794,655.0
9845,600.0
9896,823.0
9947,773.0
9998,877.0
10049,690.0
10100,957.0
10151,787.0
10202,547.0
10253,615.0
10304,397.0
10355,712.0
10406,637.0
10457,605.0
10508,695.0
10559,661.0
10610,391.0
10661,402.0
10712,724.0
10763,566.0
10814,855.0
10865,537.0
10916,376.0
10967,303.0
11018,491.0
11069,676.0
11120,709.0
11171,826.0
11222,713.0
11273,471.0
11324,367.0
11375,281.0
11426,559.0
11477,896.0
11528,894.0
11579,531.0
11630,674.0
11681,347.0
11732,313.0
11783,435.0
11834,442.0
11885,937.0
11936,0.0
11987,1952.0
12038,421.0
12089,762.0
12140,1002.0
12191,913.0
12242,785.0
12293,1052.0
12344,521.0
12395,645.0
12446,711.0
12497,951.0
12548,932.0
12599,909.0
12650,718.0
12701,572.0
12752,679.0
12803,714.0
12854,923.0
12905,1065.0
12956,877.0
13007,824.0
13058,460.0
13109,453.0
13160,737.0
13211,748.0
13262,1294.0
13313,1171.0
13364,877.0
13415,573.0
13466,637.0
13517,689.0
13568,1026.0
13619,1398.0
13670,941.0
13721,880.0
13772,629.0
13823,540.0
13874,875.0
13925,1117.0
13976,1141.0
14027,1255.0
14078,1254.0
14129,676.0
14180,599.0
14231,1059.0
14282,964.0
14333,1082.0
14384,1132.0
14435,1320.0
14486,1335.0
14537,551.0
14588,810.0
14639,1426.0
14690,1560.0
14741,1758.0
14792,1554.0
14843,925.0
14894,881.0
14945,1509.0
14996,1861.0
15047,1744.0
15098,2186.0
15149,1878.0
15200,816.0
15251,1294.0
15302,1527.0
15353,1544.0
15404,2234.0
15455,2040.0
15506,1706.0
15557,1377.0
15608,1237.0
15659,2047.0
15710,1997.0
15761,2182.0
15812,925.0
15863,1244.0
15914,1186.0
15965,1452.0
16016,1942.0
16067,2215.0
16118,2704.0
16169,2834.0
16220,2222.0
16271,1445.0
16322,1016.0
16373,2360.0
16424,2312.0
16475,2081.0
16526,2730.0
16577,2602.0
16628,1278.0
16679,1316.0
16730,2195.0
16781,2565.0
16832,3072.0
16883,2853.0
16934,2681.0
16985,1510.0
4,
55,0.0
106,0.0
157,0.0
208,2.0
259,1.0
310,0.0
361,1.0
412,0.0
463,0.0
514,0.0
565,0.0
616,2.0
667,0.0
718,0.0
769,0.0
820,0.0
871,0.0
922,0.0
973,0.0
1024,1.0
1075,0.0
1126,1.0
1177,0.0
1228,0.0
1279,0.0
1330,0.0
1381,1.0
1432,0.0
1483,0.0
1534,3.0
1585,0.0
1636,0.0
1687,1.0
1738,0.0
1789,2.0
1840,1.0
1891,2.0
1942,4.0
1993,0.0
2044,8.0
2095,4.0
2146,14.0
2197,14.0
2248,17.0
2299,40.0
2350,12.0
2401,63.0
2452,27.0
2503,41.0
2554,26.0
2605,118.0
2656,98.0
2707,117.0
2758,119.0
2809,183.0
2860,184.0
2911,211.0
2962,279.0
3013,207.0
3064,301.0
3115,482.0
3166,403.0
3217,528.0
3268,850.0
3319,858.0
3370,832.0
3421,649.0
3472,936.0
3523,1172.0
3574,1357.0
3625,1225.0
3676,1358.0
3727,1300.0
3778,1301.0
3829,1189.0
3880,1161.0
3931,1485.0
3982,1145.0
4033,1230.0
4084,996.0
4135,871.0
4186,1004.0
4237,1422.0
4288,1238.0
4339,1029.0
4390,1294.0
4441,1409.0
4492,762.0
4543,2278.0
4594,1945.0
4645,1874.0
4696,1868.0
4747,1761.0
4798,1248.0
4849,1108.0
4900,1499.0
4951,1242.0
5002,2381.0
5053,1527.0
5104,1931.0
5155,1443.0
5206,1251.0
5257,1244.0
5308,2561.0
5359,1949.0
5410,1672.0
5461,2194.0
5512,2232.0
5563,1196.0
5614,1422.0
5665,1621.0
5716,2055.0
5767,1827.0
5818,2039.0
5869,1836.0
5920,1380.0
5971,1737.0
6022,1958.0
6073,2222.0
6124,2232.0
6175,2454.0
6226,1886.0
6277,1785.0
6328,2224.0
6379,3178.0
6430,2026.0
6481,2137.0
6532,2637.0
6583,3485.0
6634,2567.0
6685,2504.0
6736,2314.0
6787,2325.0
6838,3149.0
6889,3318.0
6940,2652.0
6991,2383.0
7042,2536.0
7093,2979.0
7144,2873.0
7195,3502.0
7246,3761.0
7297,3315.0
7348,2655.0
7399,2718.0
7450,3358.0
7501,4280.0
7552,3765.0
7603,3587.0
7654,3746.0
7705,3268.0
7756,6666.0
7807,6242.0
7858,4842.0
7909,5000.0
7960,5528.0
8011,3987.0
8062,4551.0
8113,7546.0
8164,8306.0
8215,6649.0
8266,10241.0
8317,3313.0
8368,1632.0
8419,4074.0
8470,16809.0
8521,10433.0
8572,7840.0
8623,8966.0
8674,10938.0
8725,7102.0
8776,6088.0
8827,9062.0
8878,11285.0
8929,8463.0
8980,10039.0
9031,6822.0
9082,8999.0
9133,5864.0
9184,11599.0
9235,10790.0
9286,12188.0
9337,9680.0
9388,9133.0
9439,7966.0
9490,4467.0
9541,10580.0
9592,10055.0
9643,11318.0
